Fecha,year,song,Intérprete,genero,loudness,loudness_recalculado
29 de julio,1995,Entre mis recuerdos,Luz Casal,pop,-8.235,
5 de agosto,1995,Entre mis recuerdos,Luz Casal,pop,-8.235,
12 de agosto,1995,Can't cry anymore,Sheryl Crow,pop,-10.881,
19 de agosto,1995,Mi razón de ser,OBK,pop,-4.73,
26 de agosto,1995,En la selva,Juan Perro,pop,-5.251,
6 de julio,1996,Salvation,The Cranberries,rock,-4.76,
13 de julio,1996,María,Ricky Martin,pop,-8.83,-5.9875
20 de julio,1996,Lemon Tree,Fools Garden,pop,-3.96,
27 de julio,1996,Mucho mejor,Los Rodríguez,pop,-4.58,
3 de agosto,1996,The Only Thing that Looks Good on Me Is You,Bryan Adams,pop,-4.43,
10 de agosto,1996,Until It Sleeps,Metallica,rock,-6.64,
17 de agosto,1996,Contigo,Joaquín Sabina,cantautor,-7.94,
24 de agosto,1996,A sudar,Danza Invisible,pop,-5.79,
31 de agosto,1996,El talismán,Rosana,pop,-5.73,
5 de julio,1997,Song 2,Blur,pop,-6.174,-5.349666667
12 de julio,1997,The Real Thing,Lisa Stansfield,pop,-4.472,
19 de julio,1997,Blood on the Dance Floor,Michael Jackson,pop,-5.087,
26 de julio,1997,Garota nacional,Skank,latino,-5.435,
2 de agosto,1997,Frío sin ti,Navajita Plateá,pop,-7.733,
9 de agosto,1997,MMMBop,Hanson,pop,-1.644,
16 de agosto,1997,Haz turismo,Celtas Cortos,rock,-4.6,
23 de agosto,1997,A contratiempo,Ana Torroja,pop,-3.934,
30 de agosto,1997,Staring at the Sun,U2,rock,-9.068,
4 de julio,1998,Gimme Love,Alexia,pop,-8.76,-7.854777778
11 de julio,1998,Save Tonight,Eagle-Eye Cherry,pop,-4.334,
18 de julio,1998,Out of Control,The Rolling Stones,rock,-7.514,
25 de julio,1998,What Can I Do?,The Corrs,pop,-4.5,
1 de agosto,1998,Gimme the Power,Molotov,urbana,-7.055,
8 de agosto,1998,Ponle sabor,DJ Kun,urbana,-4.432,
15 de agosto,1998,Train,Undrop,rock,-5.18,
22 de agosto,1998,La bomba,Ricky Martin,pop,-18.157,
29 de agosto,1998,Happy World,Blue 4 U,urbana,-10.761,
3 de julio,1999,Livin' la vida loca,Ricky Martin,pop,-5.83,-9.353888889
10 de julio,1999,I Want it That Way,Backstreet Boys,pop,-8.191,
17 de julio,1999,Te quiero igual,Andrés Calamaro,pop,-6.927,
24 de julio,1999,Bailamos,Enrique Iglesias,pop,-18.54,
31 de julio,1999,Canned Heat,Jamiroquai,pop,-6.711,
7 de agosto,1999,Wait Here,Deviot,rock,-11.471,
14 de agosto,1999,Blue (Da Ba Dee),Eiffel 65,electrónica,-9.515,
21 de agosto,1999,Livin' in Jam,Blue 4 U,pop,-9.836,
28 de agosto,1999,Mambo nº5 (A Little Bit Of...),Lou Bega,pop,-7.164,
1 de julio,2000,If Only,Hanson,pop,-5.569,-6.940888889
8 de julio,2000,It's My Life,Bon Jovi,pop,-17.024,
15 de julio,2000,Sueño su boca,Raúl,pop,-6.119,
22 de julio,2000,No me dejes de querer,Gloria Estefan,latino,-5.605,
29 de julio,2000,Maria Maria,Santana,urbana,-4.768,
5 de agosto,2000,La bomba,King África,electrónica,-5.18,
12 de agosto,2000,Oops!... I Did It Again,Britney Spears,pop,-5.444,
19 de agosto,2000,California,Mikel Erentxun,rock,-9.484,
26 de agosto,2000,Rayando el sol,Maná,pop,-3.275,
7 de julio,2001,Nunca el tiempo es perdido,Manolo García,pop,-5.652,-5.206375
14 de julio,2001,Maggie despierta,M-Clan,rock,-3.186,
21 de julio,2001,Imitation of Life,R.E.M.,pop,-4.187,
28 de julio,2001,Dile que la quiero,David Civera,pop,-8.135,
4 de agosto,2001,Me gustas tú,Manu Chao,pop,-6.81,
11 de agosto,2001,Prohibida,Raúl,pop,-3.935,
18 de agosto,2001,Out of Reach,Gabrielle,urbana,-6.737,
25 de agosto,2001,Nada de ná',Café Quijano,pop,-3.009,
6 de julio,2002,Sigo intentando,Marta Sánchez,pop,-6.638,-5.661666667
13 de julio,2002,A Dios le pido,Juanes,pop,-3.513,
20 de julio,2002,Que la detengan,David Civera,pop,-6.502,
27 de julio,2002,Aserejé,Las Ketchup,pop,-5.538,
3 de agosto,2002,A Little Less Conversation,Elvis Presley,rock,-9.386,
10 de agosto,2002,Destrangis in the night,Estopa,rock,-5.604,
17 de agosto,2002,By the Way,Red Hot Chili Peppers,rock,-4.938,
24 de agosto,2002,Cruel to Be Kind,Naím Thomas,pop,-3.5,
