Artist,Song,Id,Popularity
Paul McCartney,My Brave Face - Remastered 2017,26zWA8YdYZUbFBqltv2BZ7,42
The Refrescos,Aqui No Hay Playa,6P1Lksu4JnHZhxwn8svo7x,42
Loquillo,Cadillac solitario,3VNxbWlw9oVvxSnSbeiCBb,53
Fine Young Cannibals,Good Thing,76ZnyGfjQZSM8GPfR7OqiJ,59
The Refrescos,Aqui No Hay Playa,6P1Lksu4JnHZhxwn8svo7x,42
Little Mix,Power,02gj0J38nzyO9lNi9mzi3A,76
Ole Ole,Soldados Del Amor,1XqZguUL9umRntelHpC9fj,26
RozalÃ©n,El Hijo De La Abuela,1nvjmebX8GiYG4RSz4240H,52
Audio Idols,Little Saint Nick (Originally Performed By The Beach Boys) [Karaoke Version],6BqCjAFchkyPzM1GvZb30k,0
Los Ronaldos,Ya No Me EngaÃ±as,77JBz2HNDk5Bzik3Esev6V,10
Radio Futura,CorazÃ³n de Tiza,3jepmVUMdx94GXirWw3cAZ,44
Whitney Houston,Step by Step,5dEBcymDDG9TUjJnAouOPp,52
Nat King Cole,Let There Be Love,2YsxdgfdysICWS4Mrn25hd,53
Seguridad Social,Chiquilla,4eJikwHYHJ3yMg1tvS1Mom,53
Locomia,Loco Vox,2hATpzM8Rq6mNqBh2yfXq3,35
Mecano,El 7 de Septiembre,682wKNJue9FGWvwhsFOW90,54
La Frontera,Palabras De Fuego,3ErynjjrmVXTgZ17qmFhRM,10
Damaco,Narcos de papel,55LKNrokXU6YkjAxHEYvBv,42
Chick Corea,My One And Only Love - Digitally Remastered,21WlpZiXLelHjdoMUhHfrm,56
No Me Pises Que Llevo Chanclas,El Amoto,4VZTcVDWzvuoUVapfxQFZO,19
George White Group,Gypsy Woman (She Is Homeless),52VPad07PAiKVkcQ2KvfWI,48
Def Leppard,Let's Get Rocked - Live,3ouuYDMbf3HYaC0AwBf3cA,33
Boyce Avenue,Better Days,4M2dlNA3trSC6tgNfoMrK8,35
Celtas Cortos,Cuentame Un Cuento,7uou7DWqEQSNfxcfipxyIu,51
Fran Perea,Voy a pensar en ti,6xXt7g7IB5oeDPQI3ki1zM,26
Terapia Nacional,Por verte feliz,4L0XLD4ivW8QDPP80uD30l,8
Tennessee,Dame tu amistad,4vkatSQuyXRQlzQaACoe6t,8
Michael Jackson,In the Closet,5Fy40smNxk0j5OpFMtvfaU,59
Mecano,Una Rosa Es una Rosa,0uFWKpWbWTpttXBUB6UG3U,41
Dua Lipa,Be The One,1ixphys4A3NEXp6MDScfih,75
Dire Straits,Your Latest Trick,6rg61PBHTfEDvgNt7MNhyU,62
Ace of Base,All That She Wants,6kWJvPfC4DgUpRsXKNa9z9,69
Snow,Informer,2LjiPAQOVazT8sRyXL3XRs,64
La Polla Records,Ellos Dicen Mierda,1pQvhzRnObih9msA91xDq7,51
Sting,Fields Of Gold,1exUmVPVMO5cIKSaup8qpI,65
Los Secretos,Amiga mala suerte - Remaster 2017,5X89PR3jmLRx88CbykI76A,25
Carlos Vives,Fruta Fresca,1lcaG7worZLgdGuniOfGje,61
Bely Basarte,(I Can't Help) Falling In Love With You - Can't Help Falling In Love,3WXURJDWa3YGUQtVMYrXfK,51
Los Rodriguez,Sin documentos,6mOZfn6CVXsX1Tt0l3thm3,51
Javiera Mena,Dentro de ti,5ydEutdJtu94qLezDIH7RB,52
Big Mountain,"Baby, I Love Your Way",1Rvl8qsKJurfFTyWLBI9ib,71
Pink Floyd,What Do You Want From Me - 2011 Remastered Version,6O5w78nzFazfs1W8DQHMeQ,52
Xhelazz,La Soledad Comienza,0vLJOfGD9un0zK5K4UlTO4,49
"Jose Alberto ""El Canario""",La Paella,5QQEbbd7qUx0ImSB2nyqJS,33
SFDK,Manos en el Aire,6haNScJR9trHxGYiaPIkMy,46
Mano Negra,Senor Matanza,2uR6DAqwZCfDeD6jFrD5zA,46
Astola,Somos el futuro,7fmy5dmgSpXyuBga0ujoGD,26
Violadores Del Verso,Capricornio,2OKQgVzLETtbZHgzzcGDo2,33
HEDEGAARD,Salvation,5eaNEyQKIioVDALBZpPpjx,64
Demarco Flamenco,Â¿QuÃ© nos ha pasado? (feat. MarÃ­a ArtÃ©s Lamorena),3geqUCLIb5QEtSw62Ubi3I,54
Fools Garden,Lemon Tree,4fXGWiVhlOLdhwRDP6pIFG,72
Los Rodriguez,Mucho Mejor,06xLo8Oa53wmBMdWcIsqPL,52
Bryan Adams,The Only Thing That Looks Good On Me Is You,4u1JgQNlJWdCGPf5AeEFlu,43
Metallica,Until It Sleeps,2M2XIGKd4sF8GcYteFN9n2,56
La Oreja de Van Gogh,Estoy Contigo,30sfbddp6p6Y33VCSf8QPQ,61
Danza Invisible,A Sudar,2WqbptEOYjaXdXmg38OiE4,15
Rosana,El talisman,6MAc5O4zy04wUPQJNqJz5Q,50
HEDEGAARD,Salvation,5eaNEyQKIioVDALBZpPpjx,64
Demarco Flamenco,Â¿QuÃ© nos ha pasado? (feat. MarÃ­a ArtÃ©s Lamorena),3geqUCLIb5QEtSw62Ubi3I,54
Fools Garden,Lemon Tree,4fXGWiVhlOLdhwRDP6pIFG,72
Los Rodriguez,Mucho Mejor,06xLo8Oa53wmBMdWcIsqPL,52
Bryan Adams,The Only Thing That Looks Good On Me Is You,4u1JgQNlJWdCGPf5AeEFlu,43
Metallica,Until It Sleeps,2M2XIGKd4sF8GcYteFN9n2,56
La Oreja de Van Gogh,Estoy Contigo,30sfbddp6p6Y33VCSf8QPQ,61
Danza Invisible,A Sudar,2WqbptEOYjaXdXmg38OiE4,15
Rosana,El talisman,6MAc5O4zy04wUPQJNqJz5Q,50
Blur,Song 2 - 2012 Remastered Version,1FTSo4v6BOZH9QxKc3MbVM,77
Lisa Stansfield,The Real Thing - Remastered,2wGnu8vWSqMADTnt7Nv1if,56
Michael Jackson,Blood on the Dance Floor,11lw4bWbmxWIETHitBU0Gc,58
Skank,Garota Nacional,7DoBn08dqKS9MmtZiZChVD,53
Navajita Platea,FrÃ­o Sin Ti (feat. Buika),6LmDlsjfQvRaVIMBPNTt5e,33
Hanson,MMMBop - Single Version,4PgPnzbAgjCQ2eA6YAWcUw,65
Celtas Cortos,Haz Turismo,1OblAw2OcZstaZf8OzINkP,30
Gritando en Silencio,A la luz de una sonrisa,5Fronw7eoL0huzCEYSZe80,39
The Offspring,Staring At The Sun,0w9HCom5v1vqXWOLYjlBqe,58
Alabama Shakes,Gimme All Your Love,3DH42U4bDllHWK6tQc4OQF,56
Eagle-Eye Cherry,Save Tonight,2hdhm6piUJnmKXmEmskXCg,75
Hoobastank,Out Of Control,4ZBLFgkbSB0YGsooiVejSz,56
The Corrs,What Can I Do,4rvT5iZVOCJeXZrDvy6JFK,55
